timestamp,zone_id,temp_C,CO_ppm,CH4_pct,CO2_pct,O2_pct,air_temp_C,RH_pct,rain_mm,wind_ms,thermal_index,confirmed_event
2026-09-08 10:00:00,A,38.74,6.25,5.883,18.451,12.246,33.04,60.2,0.0,1.26,0.23,0
2026-09-08 10:10:00,A,38.71,8.21,5.317,17.917,12.489,33.06,59.9,0.0,1.25,0.237,0
2026-09-08 10:20:00,A,38.67,7.84,5.865,18.783,12.798,33.43,58.7,0.0,1.89,0.238,0
2026-09-08 10:30:00,A,39.01,8.59,5.728,18.606,12.616,33.46,56.2,0.0,3.03,0.223,0
2026-09-08 10:40:00,A,39.21,7.09,5.974,18.393,12.145,34.01,55.4,0.0,2.14,0.213,0
2026-09-08 10:50:00,A,39.82,8.11,5.594,18.43,12.989,33.87,58.3,0.0,1.89,0.218,0
2026-09-08 11:00:00,A,39.26,7.98,5.659,18.826,12.005,33.5,60.3,0.0,1.71,0.241,0
2026-09-08 11:10:00,A,38.82,6.84,5.659,18.494,13.084,34.04,58.9,0.0,1.69,0.213,0
2026-09-08 11:20:00,A,39.53,6.4,5.681,18.418,12.225,33.95,55.2,0.0,3.23,0.238,0
2026-09-08 11:30:00,A,38.95,5.78,5.474,18.887,12.822,34.0,55.8,0.0,0.98,0.234,0
2026-09-08 11:40:00,A,39.4,6.47,5.579,17.955,12.476,33.61,53.6,0.0,2.04,0.206,0
2026-09-08 11:50:00,A,40.17,7.72,6.173,19.106,12.262,34.1,53.4,0.0,1.64,0.223,0
2026-09-08 12:00:00,A,39.0,7.11,5.623,18.577,12.261,34.1,56.3,0.0,1.06,0.22,0
2026-09-08 12:10:00,A,39.34,7.96,5.858,17.491,12.535,33.43,56.7,0.0,1.18,0.225,0
2026-09-08 12:20:00,A,39.11,6.42,5.841,18.795,12.408,33.86,54.0,0.0,1.65,0.217,0
2026-09-08 12:30:00,A,39.34,8.11,6.043,19.408,13.11,34.14,58.2,0.0,1.51,0.233,0
2026-09-08 12:40:00,A,39.25,6.83,5.789,19.403,12.449,33.95,56.7,0.0,2.1,0.246,0
2026-09-08 12:50:00,A,39.16,6.54,5.778,18.886,12.747,34.5,56.8,0.0,1.01,0.211,0
2026-09-08 13:00:00,A,39.29,7.86,5.545,19.588,12.106,34.53,54.9,0.0,2.56,0.197,0
2026-09-08 13:10:00,A,39.53,7.87,5.826,18.248,12.24,34.17,56.0,0.0,1.02,0.207,0
2026-09-08 13:20:00,A,38.93,6.17,5.57,18.828,12.653,34.27,53.5,0.0,2.12,0.212,0
2026-09-08 13:30:00,A,39.24,5.95,6.063,18.534,12.425,34.11,52.6,0.0,0.7,0.244,0
2026-09-08 13:40:00,A,39.95,7.03,5.693,19.006,12.644,34.18,57.7,0.0,1.44,0.213,0
2026-09-08 13:50:00,A,39.48,7.48,6.027,18.418,12.508,33.4,52.7,0.0,2.34,0.219,0
2026-09-08 14:00:00,A,39.62,5.12,5.725,17.559,12.543,34.21,53.9,0.0,2.96,0.228,0
2026-09-08 14:10:00,A,39.37,7.17,5.668,18.691,12.62,33.98,55.1,0.0,2.52,0.206,0
2026-09-08 14:20:00,A,39.23,6.95,6.035,19.145,12.323,34.09,55.4,0.0,1.72,0.236,0
2026-09-08 14:30:00,A,39.83,6.8,6.155,19.088,11.997,34.15,58.1,0.0,1.32,0.194,0
2026-09-08 14:40:00,A,38.89,8.12,5.845,18.216,12.477,34.27,58.9,0.0,0.9,0.224,0
2026-09-08 14:50:00,A,38.93,6.83,5.818,18.652,12.822,33.77,59.2,0.0,1.9,0.225,0
2026-09-08 15:00:00,A,39.59,6.9,5.766,18.585,12.676,33.6,57.9,0.0,2.72,0.205,0
2026-09-08 15:10:00,A,39.38,5.38,5.332,17.951,12.23,33.23,60.5,0.0,2.07,0.201,0
2026-09-08 15:20:00,A,38.87,8.06,6.068,19.168,12.802,33.03,59.1,0.0,1.52,0.219,0
2026-09-08 15:30:00,A,38.94,6.69,5.946,17.694,12.504,33.31,53.9,0.0,1.74,0.233,0
2026-09-08 15:40:00,A,39.83,6.86,5.63,19.11,12.565,33.08,59.0,0.0,1.36,0.202,0
2026-09-08 15:50:00,A,39.33,8.89,5.717,18.831,12.815,33.0,59.7,0.0,1.19,0.227,0
2026-09-08 16:00:00,A,39.56,7.63,5.75,18.967,12.891,33.68,56.9,0.0,1.85,0.216,0
2026-09-08 16:10:00,A,39.21,6.15,5.91,18.777,12.172,33.51,59.4,0.0,1.54,0.213,0
2026-09-08 16:20:00,A,38.77,5.14,5.777,17.95,12.685,33.13,59.6,0.0,2.29,0.174,0
2026-09-08 16:30:00,A,39.17,4.84,6.034,20.036,12.296,33.74,57.6,0.0,1.36,0.218,0
2026-09-08 16:40:00,A,38.95,8.55,5.774,18.747,12.085,33.29,62.2,0.0,1.92,0.208,0
2026-09-08 16:50:00,A,37.89,6.01,5.92,18.98,12.723,32.97,59.6,0.0,1.39,0.232,0
2026-09-08 17:00:00,A,38.23,6.89,5.467,17.677,11.986,31.7,64.5,0.0,1.4,0.206,0
2026-09-08 17:10:00,A,38.61,7.28,5.914,18.604,12.934,32.7,62.4,0.0,2.46,0.225,0
2026-09-08 17:20:00,A,39.31,8.56,6.068,19.154,12.166,32.43,61.9,0.0,2.6,0.235,0
2026-09-08 17:30:00,A,38.63,8.27,5.713,18.295,12.409,32.08,65.3,0.0,1.31,0.238,0
2026-09-08 17:40:00,A,38.47,7.8,5.766,19.831,12.61,32.18,66.5,0.0,1.2,0.209,0
2026-09-08 17:50:00,A,38.25,9.02,5.845,18.337,12.516,31.91,66.0,0.0,2.37,0.225,0
